region,case_number,case_id,method,expected_names
face,11,case011,SSOCT,"['SSOCT11', 'ssoct11', 'SSOCTface11', 'ssoctface11']"
face,11,case011,CycleGAN,"['cycleganface11', 'CycleGANface11', 'cyclegan11', 'CycleGAN11']"
face,11,case011,FUSRGAN,"['fusrganface11', 'FUSRGANface11', 'fusrgan11', 'FUSRGAN11']"
face,11,case011,OUR,"['ourface11', 'OURface11', 'our11', 'OUR11']"
face,11,case011,FFOCT,"['FFOCTface11', 'ffoctface11', 'FFOCT11', 'ffoct11']"
face,12,case012,SSOCT,"['SSOCT12', 'ssoct12', 'SSOCTface12', 'ssoctface12']"
face,12,case012,CycleGAN,"['cycleganface12', 'CycleGANface12', 'cyclegan12', 'CycleGAN12']"
face,12,case012,FUSRGAN,"['fusrganface12', 'FUSRGANface12', 'fusrgan12', 'FUSRGAN12']"
face,12,case012,OUR,"['ourface12', 'OURface12', 'our12', 'OUR12']"
face,12,case012,FFOCT,"['FFOCTface12', 'ffoctface12', 'FFOCT12', 'ffoct12']"
face,13,case013,SSOCT,"['SSOCT13', 'ssoct13', 'SSOCTface13', 'ssoctface13']"
face,13,case013,CycleGAN,"['cycleganface13', 'CycleGANface13', 'cyclegan13', 'CycleGAN13']"
face,13,case013,FUSRGAN,"['fusrganface13', 'FUSRGANface13', 'fusrgan13', 'FUSRGAN13']"
face,13,case013,OUR,"['ourface13', 'OURface13', 'our13', 'OUR13']"
face,13,case013,FFOCT,"['FFOCTface13', 'ffoctface13', 'FFOCT13', 'ffoct13']"
face,14,case014,SSOCT,"['SSOCT14', 'ssoct14', 'SSOCTface14', 'ssoctface14']"
face,14,case014,CycleGAN,"['cycleganface14', 'CycleGANface14', 'cyclegan14', 'CycleGAN14']"
face,14,case014,FUSRGAN,"['fusrganface14', 'FUSRGANface14', 'fusrgan14', 'FUSRGAN14']"
face,14,case014,OUR,"['ourface14', 'OURface14', 'our14', 'OUR14']"
face,14,case014,FFOCT,"['FFOCTface14', 'ffoctface14', 'FFOCT14', 'ffoct14']"
face,15,case015,SSOCT,"['SSOCT15', 'ssoct15', 'SSOCTface15', 'ssoctface15']"
face,15,case015,CycleGAN,"['cycleganface15', 'CycleGANface15', 'cyclegan15', 'CycleGAN15']"
face,15,case015,FUSRGAN,"['fusrganface15', 'FUSRGANface15', 'fusrgan15', 'FUSRGAN15']"
face,15,case015,OUR,"['ourface15', 'OURface15', 'our15', 'OUR15']"
